seconds,hours,Date & Time, Pressure (mBar), Weight (g),dv,dt,Flux (LMH),,,Surface area (m2),0.011545353,
460,0.127777778,10-08-22 05:44:40,83.56,63.86,0.27,0.001388889,16.83794202,,,,,
466,0.129444444,10-08-22 05:44:45,73.63,64.27,0.41,0.001666666,21.30728254,,,,,
471,0.130833333,10-08-22 05:44:50,82.32,64.63,0.36,0.001388889,22.45058936,,,,,
476,0.132222222,10-08-22 05:44:56,81.07,64.93,0.3,0.001388889,18.70882447,,,,,
481,0.133611111,10-08-22 05:45:01,74.87,65.39,0.46,0.001388889,28.68686419,,,,,
486,0.135,10-08-22 05:45:06,83.56,65.67,0.28,0.001388889,17.46156951,,,,,
491,0.136388889,10-08-22 05:45:11,74.87,66.06,0.39,0.001388889,24.32147181,,,,,
497,0.138055556,10-08-22 05:45:16,81.07,66.45,0.39,0.001666667,20.26789074,,,,,
502,0.139444444,10-08-22 05:45:22,81.07,66.74,0.29,0.001388888,18.08521001,,,,,
507,0.140833333,10-08-22 05:45:27,72.39,67.2,0.46,0.001388889,28.68686419,,,,,
512,0.142222222,10-08-22 05:45:32,83.56,67.49,0.29,0.001388889,18.08519699,,,,,
517,0.143611111,10-08-22 05:45:37,77.35,67.86,0.37,0.001388889,23.07421685,,,,,
523,0.145277778,10-08-22 05:45:42,81.07,68.27,0.41,0.001666667,21.30726976,,,,,
528,0.146666667,10-08-22 05:45:47,81.07,68.56,0.29,0.001388889,18.08519699,,,,,
533,0.148055556,10-08-22 05:45:53,72.39,69.01,0.45,0.001388889,28.0632367,,,,,
538,0.149444444,10-08-22 05:45:58,83.56,69.31,0.3,0.001388888,18.70883794,,,,,
543,0.150833333,10-08-22 05:46:03,77.35,69.66,0.35,0.001388889,21.82696188,,,,,
549,0.1525,10-08-22 05:46:08,79.83,70.09,0.43,0.001666667,22.34664877,,,,,
554,0.153888889,10-08-22 05:46:13,82.32,70.37,0.28,0.001388889,17.46156951,,,,,
559,0.155277778,10-08-22 05:46:19,69.9,70.81,0.44,0.001388889,27.43960922,,,,,
564,0.156666667,10-08-22 05:46:24,83.56,71.13,0.32,0.001388889,19.95607943,,,,,
569,0.158055556,10-08-22 05:46:29,78.59,71.46,0.33,0.001388889,20.57970692,,,,,
574,0.159444444,10-08-22 05:46:34,78.59,71.9,0.44,0.001388888,27.43962898,,,,,
580,0.161111111,10-08-22 05:46:39,82.32,72.18,0.28,0.001666667,14.55130617,,,,,
585,0.1625,10-08-22 05:46:45,71.14,72.61,0.43,0.001388889,26.81598174,,,,,
590,0.163888889,10-08-22 05:46:50,86.04,72.96,0.35,0.001388889,21.82696188,,,,,
595,0.165277778,10-08-22 05:46:55,79.83,73.26,0.3,0.001388889,18.70882447,,,,,
600,0.166666667,10-08-22 05:47:00,77.35,73.72,0.46,0.001388889,28.68686419,,,,,
606,0.168333333,10-08-22 05:47:05,82.32,73.99,0.27,0.001666666,14.03162509,,,,,
611,0.169722222,10-08-22 05:47:10,71.14,74.41,0.42,0.001388889,26.19235426,,,,,
616,0.171111111,10-08-22 05:47:16,82.32,74.76,0.35,0.001388889,21.82696188,,,,,
621,0.1725,10-08-22 05:47:21,79.83,75.07,0.31,0.001388889,19.33245195,,,,,
626,0.173888889,10-08-22 05:47:26,76.11,75.53,0.46,0.001388889,28.68686419,,,,,
632,0.175555556,10-08-22 05:47:31,82.32,75.81,0.28,0.001666667,14.55130617,,,,,
637,0.176944444,10-08-22 05:47:36,73.63,76.21,0.4,0.001388888,24.94511725,,,,,
642,0.178333333,10-08-22 05:47:42,83.56,76.58,0.37,0.001388889,23.07421685,,,,,
647,0.179722222,10-08-22 05:47:47,81.07,76.88,0.3,0.001388889,18.70882447,,,,,
652,0.181111111,10-08-22 05:47:52,73.63,77.34,0.46,0.001388889,28.68686419,,,,,
657,0.1825,10-08-22 05:47:57,83.56,77.62,0.28,0.001388889,17.46156951,,,,,
663,0.184166667,10-08-22 05:48:02,74.87,78,0.38,0.001666667,19.74820124,,,,,
668,0.185555556,10-08-22 05:48:07,82.32,78.4,0.4,0.001388889,24.94509929,,,,,
673,0.186944444,10-08-22 05:48:13,79.83,78.69,0.29,0.001388888,18.08521001,,,,,
678,0.188333333,10-08-22 05:48:18,72.39,79.15,0.46,0.001388889,28.68686419,,,,,
683,0.189722222,10-08-22 05:48:23,82.32,79.44,0.29,0.001388889,18.08519699,,,,,
689,0.191388889,10-08-22 05:48:28,76.11,79.79,0.35,0.001666667,18.18913272,,,,,
694,0.192777778,10-08-22 05:48:33,81.07,80.21,0.42,0.001388889,26.19235426,,,,,
699,0.194166667,10-08-22 05:48:39,82.32,80.49,0.28,0.001388889,17.46156951,,,,,
704,0.195555556,10-08-22 05:48:44,72.39,80.95,0.46,0.001388889,28.68686419,,,,,
709,0.196944444,10-08-22 05:48:49,83.56,81.25,0.3,0.001388888,18.70883794,,,,,
714,0.198333333,10-08-22 05:48:54,78.59,81.59,0.34,0.001388889,21.2033344,,,,,
720,0.2,10-08-22 05:48:59,78.59,82.03,0.44,0.001666667,22.86633827,,,,,
725,0.201388889,10-08-22 05:49:04,81.07,82.31,0.28,0.001388889,17.46156951,,,,,
730,0.202777778,10-08-22 05:49:10,71.14,82.75,0.44,0.001388889,27.43960922,,,,,
735,0.204166667,10-08-22 05:49:15,82.32,83.07,0.32,0.001388889,19.95607943,,,,,
740,0.205555556,10-08-22 05:49:20,79.83,83.39,0.32,0.001388889,19.95607943,,,,,
746,0.207222222,10-08-22 05:49:25,78.59,83.84,0.45,0.001666666,23.38604181,,,,,
751,0.208611111,10-08-22 05:49:30,82.32,84.12,0.28,0.001388889,17.46156951,,,,,
756,0.21,10-08-22 05:49:36,72.39,84.55,0.43,0.001388889,26.81598174,,,,,
761,0.211388889,10-08-22 05:49:41,82.32,84.9,0.35,0.001388889,21.82696188,,,,,
766,0.212777778,10-08-22 05:49:46,81.07,85.2,0.3,0.001388889,18.70882447,,,,,
772,0.214444444,10-08-22 05:49:51,76.11,85.66,0.46,0.001666666,23.90573163,,,,,
777,0.215833333,10-08-22 05:49:56,82.32,85.95,0.29,0.001388889,18.08519699,,,,,
782,0.217222222,10-08-22 05:50:02,72.39,86.35,0.4,0.001388889,24.94509929,,,,,
787,0.218611111,10-08-22 05:50:07,83.56,86.72,0.37,0.001388889,23.07421685,,,,,
792,0.22,10-08-22 05:50:12,81.07,87.02,0.3,0.001388889,18.70882447,,,,,
797,0.221388889,10-08-22 05:50:17,73.63,87.48,0.46,0.001388889,28.68686419,,,,,
803,0.223055556,10-08-22 05:50:22,82.32,87.77,0.29,0.001666667,15.07099568,,,,,
808,0.224444444,10-08-22 05:50:28,74.87,88.14,0.37,0.001388888,23.07423346,,,,,
813,0.225833333,10-08-22 05:50:33,82.32,88.53,0.39,0.001388889,24.32147181,,,,,
818,0.227222222,10-08-22 05:50:38,81.07,88.83,0.3,0.001388889,18.70882447,,,,,
823,0.228611111,10-08-22 05:50:43,72.39,89.29,0.46,0.001388889,28.68686419,,,,,
829,0.230277778,10-08-22 05:50:48,83.56,89.59,0.3,0.001666667,15.59068519,,,,,
834,0.231666667,10-08-22 05:50:53,77.35,89.94,0.35,0.001388889,21.82696188,,,,,
839,0.233055556,10-08-22 05:50:59,82.32,90.36,0.42,0.001388889,26.19235426,,,,,
844,0.234444444,10-08-22 05:51:04,82.32,90.64,0.28,0.001388888,17.46158208,,,,,
849,0.235833333,10-08-22 05:51:09,71.14,91.1,0.46,0.001388889,28.68686419,,,,,
855,0.2375,10-08-22 05:51:14,83.56,91.39,0.29,0.001666667,15.07099568,,,,,
860,0.238888889,10-08-22 05:51:19,81.07,91.75,0.36,0.001388889,22.45058936,,,,,
865,0.240277778,10-08-22 05:51:25,78.59,92.18,0.43,0.001388889,26.81598174,,,,,
870,0.241666667,10-08-22 05:51:30,82.32,92.46,0.28,0.001388889,17.46156951,,,,,
875,0.243055556,10-08-22 05:51:35,72.39,92.91,0.45,0.001388889,28.0632367,,,,,
881,0.244722222,10-08-22 05:51:40,83.56,93.23,0.32,0.001666666,16.63007418,,,,,
886,0.246111111,10-08-22 05:51:45,81.07,93.55,0.32,0.001388889,19.95607943,,,,,
891,0.2475,10-08-22 05:51:51,77.35,94,0.45,0.001388889,28.0632367,,,,,
896,0.248888889,10-08-22 05:51:56,83.56,94.28,0.28,0.001388889,17.46156951,,,,,
901,0.250277778,10-08-22 05:52:01,72.39,94.71,0.43,0.001388889,26.81598174,,,,,
906,0.251666667,10-08-22 05:52:06,83.56,95.05,0.34,0.001388889,21.2033344,,,,,
912,0.253333333,10-08-22 05:52:11,79.83,95.37,0.32,0.001666666,16.63007418,,,,,
917,0.254722222,10-08-22 05:52:16,77.35,95.83,0.46,0.001388889,28.68686419,,,,,
922,0.256111111,10-08-22 05:52:22,83.56,96.1,0.27,0.001388889,16.83794202,,,,,
927,0.2575,10-08-22 05:52:27,73.63,96.52,0.42,0.001388889,26.19235426,,,,,
932,0.258888889,10-08-22 05:52:32,82.32,96.88,0.36,0.001388889,22.45058936,,,,,
938,0.260555556,10-08-22 05:52:37,81.07,97.19,0.31,0.001666667,16.11037469,,,,,
943,0.261944444,10-08-22 05:52:42,74.87,97.65,0.46,0.001388888,28.68688484,,,,,
948,0.263333333,10-08-22 05:52:48,83.56,97.93,0.28,0.001388889,17.46156951,,,,,
953,0.264722222,10-08-22 05:52:53,76.11,98.3,0.37,0.001388889,23.07421685,,,,,
958,0.266111111,10-08-22 05:52:58,83.56,98.69,0.39,0.001388889,24.32147181,,,,,
963,0.2675,10-08-22 05:53:03,82.32,98.98,0.29,0.001388889,18.08519699,,,,,
969,0.269166667,10-08-22 05:53:08,73.63,99.44,0.46,0.001666667,23.90571729,,,,,
974,0.270555556,10-08-22 05:53:14,83.56,99.72,0.28,0.001388889,17.46156951,,,,,
979,0.271944444,10-08-22 05:53:19,77.35,100.11,0.39,0.001388888,24.32148932,,,,,
984,0.273333333,10-08-22 05:53:24,81.07,100.52,0.41,0.001388889,25.56872678,,,,,
989,0.274722222,10-08-22 05:53:29,82.32,100.8,0.28,0.001388889,17.46156951,,,,,
995,0.276388889,10-08-22 05:53:34,72.39,101.26,0.46,0.001666667,23.90571729,,,,,
1000,0.277777778,10-08-22 05:53:39,84.8,101.57,0.31,0.001388889,19.33245195,,,,,
1005,0.279166667,10-08-22 05:53:45,78.59,101.92,0.35,0.001388889,21.82696188,,,,,
1010,0.280555556,10-08-22 05:53:50,81.07,102.34,0.42,0.001388889,26.19235426,,,,,
1015,0.281944444,10-08-22 05:53:55,83.56,102.63,0.29,0.001388888,18.08521001,,,,,
1020,0.283333333,10-08-22 05:54:00,71.14,103.07,0.44,0.001388889,27.43960922,,,,,
1026,0.285,10-08-22 05:54:05,84.8,103.39,0.32,0.001666667,16.6300642,,,,,
1031,0.286388889,10-08-22 05:54:10,79.83,103.72,0.33,0.001388889,20.57970692,,,,,
1036,0.287777778,10-08-22 05:54:16,79.83,104.16,0.44,0.001388889,27.43960922,,,,,
1041,0.289166667,10-08-22 05:54:21,83.56,104.45,0.29,0.001388889,18.08519699,,,,,
1046,0.290555556,10-08-22 05:54:26,71.14,104.87,0.42,0.001388889,26.19235426,,,,,
1052,0.292222222,10-08-22 05:54:31,84.8,105.21,0.34,0.001666666,17.66945381,,,,,
1057,0.293611111,10-08-22 05:54:36,81.07,105.53,0.32,0.001388889,19.95607943,,,,,
1062,0.295,10-08-22 05:54:42,78.59,105.98,0.45,0.001388889,28.0632367,,,,,
1067,0.296388889,10-08-22 05:54:47,83.56,106.27,0.29,0.001388889,18.08519699,,,,,
1072,0.297777778,10-08-22 05:54:52,72.39,106.69,0.42,0.001388889,26.19235426,,,,,
1078,0.299444444,10-08-22 05:54:57,84.8,107.04,0.35,0.001666666,18.18914363,,,,,
1083,0.300833333,10-08-22 05:55:02,81.07,107.36,0.32,0.001388889,19.95607943,,,,,
1088,0.302222222,10-08-22 05:55:08,77.35,107.81,0.45,0.001388889,28.0632367,,,,,
1093,0.303611111,10-08-22 05:55:13,83.56,108.11,0.3,0.001388889,18.70882447,,,,,
1098,0.305,10-08-22 05:55:18,74.87,108.49,0.38,0.001388889,23.69784433,,,,,
1103,0.306388889,10-08-22 05:55:23,84.8,108.89,0.4,0.001388889,24.94509929,,,,,
1109,0.308055556,10-08-22 05:55:28,82.32,109.18,0.29,0.001666667,15.07099568,,,,,
1114,0.309444444,10-08-22 05:55:33,74.87,109.64,0.46,0.001388888,28.68688484,,,,,
1119,0.310833333,10-08-22 05:55:39,84.8,109.92,0.28,0.001388889,17.46156951,,,,,
1124,0.312222222,10-08-22 05:55:44,76.11,110.31,0.39,0.001388889,24.32147181,,,,,
1129,0.313611111,10-08-22 05:55:49,83.56,110.71,0.4,0.001388889,24.94509929,,,,,
1135,0.315277778,10-08-22 05:55:54,83.56,111.01,0.3,0.001666667,15.59068519,,,,,
1140,0.316666667,10-08-22 05:55:59,72.39,111.46,0.45,0.001388889,28.0632367,,,,,
1145,0.318055556,10-08-22 05:56:05,84.8,111.77,0.31,0.001388889,19.33245195,,,,,
1150,0.319444444,10-08-22 05:56:10,78.59,112.13,0.36,0.001388888,22.45060553,,,,,
1155,0.320833333,10-08-22 05:56:15,82.32,112.54,0.41,0.001388889,25.56872678,,,,,
1160,0.322222222,10-08-22 05:56:20,82.32,112.83,0.29,0.001388889,18.08519699,,,,,
1166,0.323888889,10-08-22 05:56:25,72.39,113.28,0.45,0.001666667,23.38602778,,,,,
1171,0.325277778,10-08-22 05:56:30,84.8,113.61,0.33,0.001388889,20.57970692,,,,,
1176,0.326666667,10-08-22 05:56:36,79.83,113.94,0.33,0.001388889,20.57970692,,,,,
1181,0.328055556,10-08-22 05:56:41,81.07,114.37,0.43,0.001388889,26.81598174,,,,,
1186,0.329444444,10-08-22 05:56:46,83.56,114.67,0.3,0.001388888,18.70883794,,,,,
1192,0.331111111,10-08-22 05:56:51,72.39,115.09,0.42,0.001666667,21.82695926,,,,,
1197,0.3325,10-08-22 05:56:56,86.04,115.43,0.34,0.001388889,21.2033344,,,,,
1202,0.333888889,10-08-22 05:57:02,81.07,115.75,0.32,0.001388889,19.95607943,,,,,
1207,0.335277778,10-08-22 05:57:07,79.83,116.21,0.46,0.001388889,28.68686419,,,,,
1212,0.336666667,10-08-22 05:57:12,83.56,116.48,0.27,0.001388889,16.83794202,,,,,
1217,0.338055556,10-08-22 05:57:17,73.63,116.91,0.43,0.001388889,26.81598174,,,,,
1223,0.339722222,10-08-22 05:57:22,84.8,117.27,0.36,0.001666666,18.70883345,,,,,
1228,0.341111111,10-08-22 05:57:27,81.07,117.58,0.31,0.001388889,19.33245195,,,,,
1233,0.3425,10-08-22 05:57:33,77.35,118.04,0.46,0.001388889,28.68686419,,,,,
1238,0.343888889,10-08-22 05:57:38,83.56,118.32,0.28,0.001388889,17.46156951,,,,,
1243,0.345277778,10-08-22 05:57:43,74.87,118.72,0.4,0.001388889,24.94509929,,,,,
1249,0.346944444,10-08-22 05:57:48,84.8,119.09,0.37,0.001666666,19.22852327,,,,,
1254,0.348333333,10-08-22 05:57:53,83.56,119.4,0.31,0.001388889,19.33245195,,,,,
1259,0.349722222,10-08-22 05:57:59,74.87,119.86,0.46,0.001388889,28.68686419,,,,,
1264,0.351111111,10-08-22 05:58:04,84.8,120.15,0.29,0.001388889,18.08519699,,,,,
1269,0.3525,10-08-22 05:58:09,77.35,120.54,0.39,0.001388889,24.32147181,,,,,
1275,0.354166667,10-08-22 05:58:14,84.8,120.93,0.39,0.001666667,20.26789074,,,,,
1280,0.355555556,10-08-22 05:58:19,84.8,121.23,0.3,0.001388889,18.70882447,,,,,
1285,0.356944444,10-08-22 05:58:25,72.39,121.69,0.46,0.001388888,28.68688484,,,,,
1290,0.358333333,10-08-22 05:58:30,86.04,121.99,0.3,0.001388889,18.70882447,,,,,
1295,0.359722222,10-08-22 05:58:35,78.59,122.35,0.36,0.001388889,22.45058936,,,,,
1300,0.361111111,10-08-22 05:58:40,82.32,122.77,0.42,0.001388889,26.19235426,,,,,
1306,0.362777778,10-08-22 05:58:45,83.56,123.05,0.28,0.001666667,14.55130617,,,,,
1311,0.364166667,10-08-22 05:58:50,77.35,123.5,0.45,0.001388889,28.0632367,,,,,
1316,0.365555556,10-08-22 05:58:56,86.04,123.8,0.3,0.001388889,18.70882447,,,,,
1321,0.366944444,10-08-22 05:59:01,79.83,124.15,0.35,0.001388888,21.8269776,,,,,
1326,0.368333333,10-08-22 05:59:06,81.07,124.57,0.42,0.001388889,26.19235426,,,,,
1332,0.37,10-08-22 05:59:11,84.8,124.88,0.31,0.001666667,16.11037469,,,,,
1337,0.371388889,10-08-22 05:59:16,73.63,125.31,0.43,0.001388889,26.81598174,,,,,
1342,0.372777778,10-08-22 05:59:22,86.04,125.63,0.32,0.001388889,19.95607943,,,,,
1347,0.374166667,10-08-22 05:59:27,82.32,125.96,0.33,0.001388889,20.57970692,,,,,
1352,0.375555556,10-08-22 05:59:32,83.56,126.41,0.45,0.001388889,28.0632367,,,,,
1358,0.377222222,10-08-22 05:59:37,86.04,126.69,0.28,0.001666666,14.55131491,,,,,
1363,0.378611111,10-08-22 05:59:42,74.87,127.11,0.42,0.001388889,26.19235426,,,,,
1368,0.38,10-08-22 05:59:48,87.28,127.47,0.36,0.001388889,22.45058936,,,,,
1373,0.381388889,10-08-22 05:59:53,81.07,127.79,0.32,0.001388889,19.95607943,,,,,
1378,0.382777778,10-08-22 05:59:58,78.59,128.24,0.45,0.001388889,28.0632367,,,,,
1383,0.384166667,10-08-22 06:00:03,86.04,128.52,0.28,0.001388889,17.46156951,,,,,
1389,0.385833333,10-08-22 06:00:08,76.11,128.94,0.42,0.001666666,21.82697236,,,,,
1394,0.387222222,10-08-22 06:00:13,86.04,129.3,0.36,0.001388889,22.45058936,,,,,
1399,0.388611111,10-08-22 06:00:19,82.32,129.61,0.31,0.001388889,19.33245195,,,,,
1404,0.39,10-08-22 06:00:24,76.11,130.07,0.46,0.001388889,28.68686419,,,,,
1409,0.391388889,10-08-22 06:00:29,86.04,130.36,0.29,0.001388889,18.08519699,,,,,
1414,0.392777778,10-08-22 06:00:34,77.35,130.74,0.38,0.001388889,23.69784433,,,,,
1420,0.394444444,10-08-22 06:00:39,84.8,131.14,0.4,0.001666666,20.78759272,,,,,
1425,0.395833333,10-08-22 06:00:45,83.56,131.43,0.29,0.001388889,18.08519699,,,,,
1430,0.397222222,10-08-22 06:00:50,73.63,131.9,0.47,0.001388889,29.31049167,,,,,
1435,0.398611111,10-08-22 06:00:55,87.28,132.19,0.29,0.001388889,18.08519699,,,,,
1440,0.4,10-08-22 06:01:00,79.83,132.56,0.37,0.001388889,23.07421685,,,,,
1446,0.401666667,10-08-22 06:01:05,84.8,132.98,0.42,0.001666667,21.82695926,,,,,
1451,0.403055556,10-08-22 06:01:10,84.8,133.27,0.29,0.001388889,18.08519699,,,,,
1456,0.404444444,10-08-22 06:01:16,73.63,133.72,0.45,0.001388888,28.06325691,,,,,
